votenumber,voteid,votedate,majorityreq,result,votedesc,S354,S317,S330,S396,S341,S342,S370,S343,S397,S307,S300,S275,S372,S308,S277,S309,S373,S252,S337,S287,S385,S374,S398,S266,S355,S375,S386,S253,S376,S221,S357,S331,S293,S153,S407,S387,S388,S399,S359,S408,S361,S344,S395,S236,S345,S362,S406,S389,S363,S311,S378,S057,S346,S405,S409,S410,S338,S369,S411,S174,S306,S322,S347,S288,S364,S229,S348,S380,S349,S259,S323,S401,S402,S381,S350,S313,S382,S353,S270,S404,S365,S324,S184,S403,S394,S284,S383,S314,S303,S384,S351,S412,S390,S327,S366,S316,S318,S247,S391,S414,S413,S415
41,117-1-41,2021-02-05 02:43:00,3/5,Motion Rejected,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Cruz Amdt. No. 811),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0.0,0.0,0.0
42,117-1-42,2021-02-05 02:51:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 872 to S.Con.Res. 5 (No short title on file),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
43,117-1-43,2021-02-05 03:00:00,1/2,Amendment Agreed to,On the Amendment S.Amdt. 655 to S.Con.Res. 5 (No short title on file),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
44,117-1-44,2021-02-05 03:09:00,1/2,Amendment Agreed to,On the Amendment S.Amdt. 837 to S.Con.Res. 5 (No short title on file),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
45,117-1-45,2021-02-05 03:22:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 55 to S.Con.Res. 5 (No short title on file),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
46,117-1-46,2021-02-05 03:30:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 887 to S.Con.Res. 5 (No short title on file),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
47,117-1-47,2021-02-05 03:42:00,1/2,Amendment Agreed to,On the Amendment S.Amdt. 803 to S.Con.Res. 5 (No short title on file),0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0.0,0.0,0.0
48,117-1-48,2021-02-05 03:56:00,1/2,Amendment Agreed to,On the Amendment S.Amdt. 253 to S.Con.Res. 5 (No short title on file),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
49,117-1-49,2021-02-05 04:09:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 871 to S.Con.Res. 5 (No short title on file),0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0.0,0.0,0.0
50,117-1-50,2021-02-05 04:23:00,3/5,Motion Rejected,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Sullivan Amdt. No. 461),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
51,117-1-51,2021-02-05 04:33:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 651 to S.Con.Res. 5 (No short title on file),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
52,117-1-52,2021-02-05 05:07:00,1/2,Amendment Agreed to,On the Amendment S.Amdt. 888 to S.Con.Res. 5 (No short title on file),1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
53,117-1-53,2021-02-05 05:15:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 889 to S.Con.Res. 5 (No short title on file),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
54,117-1-54,2021-02-05 05:23:00,1/2,Concurrent Resolution Agreed to,On the Concurrent Resolution S.Con.Res. 5,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
55,117-1-55,2021-02-08 17:32:00,1/2,Nomination Confirmed,On the Nomination PN78-14,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,,1,0,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1.0,1.0,1.0
56,117-1-56,2021-02-09 13:03:00,1/2,Resolution Agreed to,On the Resolution S.Res. 47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0
57,117-1-57,2021-02-09 17:01:00,1/2,Motion Agreed to,On the Motion (Is Former President Donald John Trump Subject to a Court of Impeachment for Acts Committed While President?),1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1.0,1.0,1.0
58,117-1-58,2021-02-13 10:21:00,1/2,Motion Agreed to,On the Motion (Shall It Be In Order to Consider and Debate Any Motion to Subpoena Witnesses or Documents?),1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
59,117-1-59,2021-02-13 15:39:00,2/3,Not Guilty,Guilty or Not Guilty H.Res. 24,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1.0,1.0,1.0
60,117-1-60,2021-02-22 17:31:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN78-20,1,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,,1,0,1,1,0,1,1,1,3,1,1,3,3,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,1,1.0,1.0,1.0
61,117-1-61,2021-02-23 11:32:00,1/2,Nomination Confirmed,On the Nomination PN78-20,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,1,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,1,1.0,1.0,1.0
62,117-1-62,2021-02-23 12:09:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN78-21,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,1,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0,1,0,1,1,0,0,3,0,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,1,1.0,1.0,1.0
63,117-1-63,2021-02-23 14:27:00,1/2,Nomination Confirmed,On the Nomination PN78-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0
64,117-1-64,2021-02-23 15:07:00,1/2,Nomination Confirmed,On the Nomination PN78-21,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,3,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1.0,1.0,1.0
65,117-1-65,2021-02-24 16:01:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN78-8,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1.0,1.0,3.0
66,117-1-66,2021-02-25 12:08:00,1/2,Nomination Confirmed,On the Nomination PN78-8,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,3,1,0,0,0,0,1,1,1,1,0,1,1,1.0,1.0,1.0
67,117-1-67,2021-02-25 13:30:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN78-5,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,,1,0,1,1,1,0,1,3,1,1,1,0,1,1,0,1,0,,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,3,1,0,1,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
68,117-1-68,2021-03-01 17:36:00,1/2,Nomination Confirmed,On the Nomination PN78-5,1,0,1,3,1,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,,1,0,1,1,0,1,1,1,3,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
69,117-1-69,2021-03-01 18:07:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN78-15,1,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0
70,117-1-70,2021-03-02 14:15:00,1/2,Nomination Confirmed,On the Nomination PN78-15,1,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0
71,117-1-71,2021-03-02 14:56:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN78-17,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0
72,117-1-72,2021-03-02 17:38:00,1/2,Nomination Confirmed,On the Nomination PN78-17,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0
73,117-1-73,2021-03-04 14:35:00,1/2,Motion to Proceed Agreed to,On the Motion to Proceed H.R. 1319,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
74,117-1-74,2021-03-05 11:03:00,3/5,Motion Rejected,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Sanders Amdt. No. 972),1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
75,117-1-75,2021-03-05 22:58:00,1/2,Motion to Adjourn Rejected,On the Motion to Adjourn H.R. 1319,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
76,117-1-76,2021-03-05 23:41:00,1/2,Amendment Agreed to,On the Amendment S.Amdt. 1092 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
77,117-1-77,2021-03-06 00:12:00,3/5,Motion Rejected,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Collins Amdt. No. 1242),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
78,117-1-78,2021-03-06 00:39:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1030 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
79,117-1-79,2021-03-06 01:04:00,1/2,Amendment Agreed to,On the Amendment S.Amdt. 1378 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,3,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
80,117-1-80,2021-03-06 01:34:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1026 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
81,117-1-81,2021-03-06 01:52:00,1/2,Amendment Agreed to,On the Amendment S.Amdt. 1344 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,3,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
82,117-1-82,2021-03-06 02:21:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1369 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,0,1,0,0,0,0,1,0,1,0.0,0.0,0.0
83,117-1-83,2021-03-06 02:47:00,3/5,Motion Rejected,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Tester Amdt. No. 1197),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,1,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
84,117-1-84,2021-03-06 03:12:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1161 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
85,117-1-85,2021-03-06 03:35:00,1/2,Motion Rejected,On the Motion (Grassley Motion to Commit H.R. 1319 to the Committee on Finance with Instructions),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
86,117-1-86,2021-03-06 04:02:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1010 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
87,117-1-87,2021-03-06 04:22:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 944 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
88,117-1-88,2021-03-06 04:51:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1014 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,3,1,0,0,0,0,1,0,1,0.0,0.0,0.0
89,117-1-89,2021-03-06 05:19:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1383 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,3,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
