votenumber,voteid,votedate,majorityreq,result,votedesc,S354,S317,S330,S396,S341,S370,S343,S397,S416,S307,S417,S275,S372,S308,S277,S309,S373,S252,S337,S287,S385,S374,S398,S266,S355,S375,S386,S253,S376,S221,S418,S357,S331,S293,S153,S407,S388,S399,S359,S408,S361,S344,S395,S345,S362,S406,S389,S363,S311,S378,S346,S409,S410,S338,S369,S411,S174,S306,S322,S347,S419,S288,S364,S229,S414,S413,S348,S380,S259,S423,S323,S401,S402,S381,S350,S313,S353,S420,S270,S404,S365,S324,S403,S394,S284,S383,S314,S303,S384,S412,S390,S421,S327,S415,S366,S422,S316,S318,S247,S391,S424
43,118-1-43,2023-03-07 14:15:00,1/2,Nomination Confirmed,On the Nomination PN178,1,3,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,3.0,3,0,1,1,1,0,1,0,1,1,1,0,0,0,1,3,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,3,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
44,118-1-44,2023-03-07 14:53:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN179,1,3,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,3.0,3,0,1,1,1,0,1,0,1,1,1,0,0,0,1,3,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,3,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
45,118-1-45,2023-03-07 16:33:00,1/2,Nomination Confirmed,On the Nomination PN179,1,3,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,3.0,3,0,1,1,1,0,1,0,1,1,1,0,0,0,1,3,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
46,118-1-46,2023-03-07 17:26:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN162,1,3,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,3.0,3,0,1,0,0,0,1,0,1,1,1,1,0,0,1,3,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,
47,118-1-47,2023-03-08 10:48:00,1/2,Nomination Confirmed,On the Nomination PN162,1,0,1,0,1,1,0,0,0,1,0,1,1,3,3,1,0,1,1,0,1,0,1,0,0,1,3,1,0,3.0,3,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,3,1,0,1,0,0,1,1,1,1,1,1,1,1,0,3,0,1,1,1,1,3,0,1,1,
48,118-1-48,2023-03-08 11:46:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN27,1,0,1,0,1,1,0,0,0,1,0,1,0,3,3,1,1,1,1,0,1,0,0,0,0,0,1,1,0,3.0,3,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,3,0,1,1,1,1,1,0,1,1,
49,118-1-49,2023-03-08 18:27:00,1/2,Joint Resolution Passed,On the Joint Resolution H.J.Res. 26,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,3.0,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,0,0,1,1,1,
50,118-1-50,2023-03-09 11:51:00,1/2,Nomination Confirmed,On the Nomination PN27,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,3.0,3,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,3,1,1,0,0,1,1,1,1,1,0,1,1,0,3,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,
51,118-1-51,2023-03-09 12:47:00,1/2,Nomination Confirmed,On the Nomination PN175,1,0,1,0,1,3,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,3.0,3,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,3,1,1,3,0,0,1,1,1,1,0,1,1,0,3,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,
52,118-1-52,2023-03-09 13:45:00,1/2,Nomination Confirmed,On the Nomination PN91,1,0,1,0,1,3,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,3,0,0,1,1,0,3.0,3,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,3,1,1,3,0,1,1,1,1,1,0,1,1,0,3,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
53,118-1-53,2023-03-14 17:26:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN122,1,3,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,3,0,1,1,0,3.0,3,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,3,1,1,0,0,1,1,1,1,3,0,1,1,0,3,0,1,0,0,1,1,0,1,0,3,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,
54,118-1-54,2023-03-15 11:32:00,1/2,Nomination Confirmed,On the Nomination PN122,1,3,1,0,1,3,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,3,0,1,1,0,3.0,3,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,3,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,
55,118-1-55,2023-03-15 12:25:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN29,1,3,1,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,3,1,1,1,0,3.0,3,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,3,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,
56,118-1-56,2023-03-15 14:15:00,1/2,Nomination Confirmed,On the Nomination PN29,1,3,1,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,3,1,1,1,0,3.0,3,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,3,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,
57,118-1-57,2023-03-15 14:57:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN6,1,3,1,0,1,3,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,3,0,1,1,0,3.0,3,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,3,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,3,
58,118-1-58,2023-03-15 17:18:00,1/2,Nomination Confirmed,On the Nomination PN6,1,3,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,3,0,1,1,0,3.0,3,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,3,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,3,
59,118-1-59,2023-03-15 18:12:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN2,1,3,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,3,0,1,1,1,3.0,3,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,3,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,3,
60,118-1-60,2023-03-16 11:32:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN85,1,3,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,3,0,1,1,0,3.0,3,0,1,0,0,0,1,0,1,1,1,3,0,0,1,1,0,1,1,0,0,1,0,1,1,0,3,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
61,118-1-61,2023-03-16 12:25:00,3/5,Cloture on the Motion to Proceed Agreed to,On Cloture on the Motion to Proceed S. 316,1,3,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,3,1,1,1,0,3.0,3,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,3,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,
62,118-1-62,2023-03-16 13:52:00,1/2,Nomination Confirmed,On the Nomination PN85,1,3,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,3,0,3,0,1,1,0,3.0,3,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,3,1,1,3,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,3,1,0,1,0,3,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
63,118-1-63,2023-03-21 17:36:00,1/2,Motion to Proceed Agreed to,On the Motion to Proceed S. 316,1,3,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,3,0,3.0,3,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,3,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,
64,118-1-64,2023-03-22 11:59:00,1/2,Nomination Confirmed,On the Nomination PN176,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,3,0,3.0,3,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,3,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,
65,118-1-65,2023-03-22 17:51:00,3/5,Amendment Rejected,On the Amendment S.Amdt. 2 to S. 316 (No short title on file),1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3.0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
66,118-1-66,2023-03-22 18:40:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 14 to S. 316 (No short title on file),0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,3,1,3.0,3,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,
67,118-1-67,2023-03-23 11:31:00,3/5,Amendment Rejected,On the Amendment S.Amdt. 22 to S. 316 (No short title on file),0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,3.0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,
68,118-1-68,2023-03-23 12:29:00,3/5,Amendment Rejected,On the Amendment S.Amdt. 4 to S. 316 (No short title on file),0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,3,1,1,0,0,3,1,3.0,3,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,
69,118-1-69,2023-03-23 13:49:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 43 to S. 316 (No short title on file),0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,3,1,1,1,0,3,1,3.0,3,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,3,0,0,3,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,
70,118-1-70,2023-03-27 17:34:00,3/5,Cloture Motion Agreed to,On the Cloture Motion S. 316,1,3,1,3,1,1,0,1,0,1,1,1,0,1,1,1,1,1,3,0,1,0,1,0,0,1,1,1,0,3.0,3,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,3,1,1,1,0,1,1,1,1,3,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,
71,118-1-71,2023-03-28 11:32:00,3/5,Amendment Rejected,On the Amendment S. 316,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,3,1,0,1,1,1,1,1,0,0,1,3.0,3,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,3,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,
72,118-1-72,2023-03-28 12:37:00,3/5,Amendment Rejected,On the Amendment S. 316,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,1,3.0,3,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,
73,118-1-73,2023-03-28 14:31:00,3/5,Amendment Rejected,On the Amendment S. 316,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,3,1,0,1,1,1,1,1,0,0,1,3.0,3,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,
74,118-1-74,2023-03-28 15:38:00,3/5,Amendment Rejected,On the Amendment S. 316,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,3,1,0,1,1,1,1,0,0,0,1,3.0,3,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,3,1,0,0,0,0,0,0,0,1,0,0,
75,118-1-75,2023-03-28 17:11:00,3/5,Amendment Rejected,On the Amendment S. 316,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,1,1,0,0,1,3.0,3,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
76,118-1-76,2023-03-28 18:14:00,3/5,Amendment Rejected,On the Amendment S. 316,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,3.0,3,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,3,0,1,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,
77,118-1-77,2023-03-29 11:50:00,1/2,Bill Passed,On Passage of the Bill S. 316,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,3,0,1,0,1,0,0,1,1,1,0,3.0,3,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,3,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,
78,118-1-78,2023-03-29 12:40:00,3/5,Cloture on the Motion to Proceed Agreed to,On Cloture on the Motion to Proceed S. 870,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
79,118-1-79,2023-03-29 14:26:00,1/2,Joint Resolution Passed,On the Joint Resolution H.J.Res. 27,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,3,1,1,1,1,1,1,1,0,0,1,3.0,3,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,3,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,
80,118-1-80,2023-03-29 18:37:00,1/2,Joint Resolution Passed,On the Joint Resolution H.J.Res. 7,1,3,1,3,0,0,1,1,1,1,1,0,1,0,0,1,1,1,3,1,1,1,1,1,1,1,0,1,1,3.0,3,1,0,1,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,3,1,0,0,1,1,1,1,1,0,1,1,1,0,0,3,1,0,1,
81,118-1-81,2023-03-30 11:46:00,1/2,Nomination Confirmed,On the Nomination PN44,1,3,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,3.0,3,0,1,1,1,3,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,3,1,1,1,1,3,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,3,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,
82,118-1-82,2023-03-30 13:45:00,1/2,Nomination Confirmed,On the Nomination PN2,1,3,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,3,0,0,0,1,1,1,3.0,3,1,1,1,1,3,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,3,1,1,3,0,3,1,1,1,1,0,1,1,1,0,1,1,1,0,3,1,3,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,
83,118-1-83,2023-04-17 17:30:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN5,1,3,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,3,3,1,0,0,0,1,1,1,3.0,1,1,3,3,1,0,1,0,3,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,3,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,3,1,1,1,0,1,3,0,1,0,0,1,3,1,1,3,1,1,1,0,1,0,1,1,1,1,1,1,1,3,
84,118-1-84,2023-04-18 11:27:00,1/2,Nomination Confirmed,On the Nomination PN5,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,3.0,1,1,3,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,
85,118-1-85,2023-04-18 12:28:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN69,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,3.0,1,0,3,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,
86,118-1-86,2023-04-18 14:15:00,1/2,Nomination Confirmed,On the Nomination PN69,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,3.0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,
87,118-1-87,2023-04-18 16:41:00,3/5,Amendment Rejected,On the Amendment S.Amdt. 80 to S. 870 (No short title on file),0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,3.0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,
88,118-1-88,2023-04-19 11:43:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 79 to S. 870 (No short title on file),0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,3.0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,
89,118-1-89,2023-04-19 12:45:00,3/5,Amendment Rejected,On the Amendment S.Amdt. 72 to S. 870 (No short title on file),0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,3.0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,
90,118-1-90,2023-04-19 16:22:00,1/2,Motion Rejected,On the Motion (Motion to Proceed to S.J.Res. 10),0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,3.0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,
91,118-1-91,2023-04-19 17:13:00,3/5,Amendment Rejected,On the Amendment S.Amdt. 81 to S. 870 (No short title on file),0,1,0,1,0,0,1,1,3,0,1,0,1,0,0,0,1,0,0,1,0,3,1,1,1,1,0,0,1,3.0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,3,1,0,1,
92,118-1-92,2023-04-20 23:17:00,3/5,Amendment Rejected,On the Amendment S.Amdt. 85 to S. 870 (No short title on file),1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,3,0,3.0,3,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
93,118-1-93,2023-04-20 12:27:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 83 to S. 870 (No short title on file),0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,3.0,0,1,0,1,1,1,0,3,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,
94,118-1-94,2023-04-20 13:50:00,3/5,Bill Passed,On Passage of the Bill S. 870,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,
95,118-1-95,2023-04-25 17:40:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN195,1,3,1,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,3.0,1,0,1,1,0,3,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,3,1,1,1,0,3,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,
