votenumber,voteid,votedate,majorityreq,result,votedesc,S354,S317,S330,S396,S341,S370,S343,S397,S416,S307,S417,S275,S372,S308,S277,S309,S373,S252,S337,S287,S385,S374,S398,S266,S355,S375,S386,S253,S376,S221,S418,S357,S331,S293,S153,S407,S388,S399,S359,S408,S361,S344,S395,S345,S362,S406,S389,S363,S311,S378,S346,S409,S410,S338,S369,S411,S174,S306,S322,S347,S419,S288,S364,S229,S414,S413,S348,S380,S259,S423,S323,S401,S402,S381,S350,S313,S353,S420,S270,S404,S365,S324,S403,S394,S284,S383,S314,S303,S384,S412,S390,S421,S327,S415,S366,S422,S316,S318,S247,S391,S424
12,118-1-12,2023-02-14 12:26:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN74,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,3,0,1,1,1,1,0,0,0,0,0,1,1,0,1.0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
13,118-1-13,2023-02-14 14:15:00,1/2,Nomination Confirmed,On the Nomination PN74,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,3,0,1,1,1,1,0,0,0,0,0,1,1,0,1.0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,
14,118-1-14,2023-02-14 14:57:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN72,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,3,0,1,1,1,1,0,0,0,0,0,1,1,0,1.0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
15,118-1-15,2023-02-14 16:28:00,1/2,Nomination Confirmed,On the Nomination PN72,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,3,0,1,1,0,1,0,0,0,0,0,1,1,0,1.0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
16,118-1-16,2023-02-14 17:14:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN71,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,3,0,1,1,0,1,0,0,0,0,0,1,1,0,1.0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,3,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,3,0,1,0,1,1,1,1,1,0,1,0,
17,118-1-17,2023-02-15 11:31:00,1/2,Nomination Confirmed,On the Nomination PN71,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,3,0,1,1,0,1,0,0,0,0,0,1,1,0,3.0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
18,118-1-18,2023-02-15 12:26:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN80,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,3,0,1,1,0,1,0,0,0,0,0,1,1,0,1.0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
19,118-1-19,2023-02-15 13:57:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN73,1,0,1,0,1,1,0,0,0,1,0,1,0,3,1,3,0,1,1,0,1,0,0,0,0,0,1,1,0,1.0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
20,118-1-20,2023-02-15 16:36:00,1/2,Nomination Confirmed,On the Nomination PN80,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,3,0,1,1,0,1,0,0,0,0,0,1,1,0,1.0,3,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
21,118-1-21,2023-02-15 17:21:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN3,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,3,0,1,1,1,1,0,3,0,0,0,1,1,1,1.0,3,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,
