votenumber,voteid,votedate,majorityreq,result,votedesc,S354,S317,S330,S396,S341,S342,S370,S343,S397,S307,S300,S275,S372,S308,S277,S309,S373,S252,S337,S287,S385,S374,S398,S266,S355,S375,S386,S253,S376,S221,S357,S331,S293,S153,S407,S388,S399,S359,S408,S361,S344,S395,S236,S345,S362,S406,S389,S363,S311,S378,S057,S346,S409,S410,S338,S369,S411,S174,S306,S322,S347,S288,S364,S229,S414,S413,S348,S380,S349,S259,S323,S401,S402,S381,S350,S313,S382,S353,S270,S404,S365,S324,S184,S403,S394,S284,S383,S314,S303,S384,S351,S412,S390,S327,S415,S366,S316,S318,S247,S391
1,117-2-1,2022-01-05 12:09:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN496,1,0,1,0,1,1,1,0,0,1,1,1,1,3,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,3,1,1,3,1,0,1,3,1,1,1,1,0,3,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,3,1,0,3,1,3,3,1,0,1,3,1,3,1,1,1,3,3,0,1,1,0,0,1,0,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2,117-2-2,2022-01-05 14:10:00,1/2,Nomination Confirmed,On the Nomination PN496,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,3,1,1,3,1,0,1,0,1,1,1,1,0,3,0,1,1,0,1,3,0,1,0,1,0,1,1,0,1,3,1,0,3,1,3,3,1,0,1,3,1,3,1,1,1,3,3,0,1,1,0,0,1,0,3,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
3,117-2-3,2022-01-10 17:28:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1321,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,3,1,1,0,1,0,0,0,0,0,1,1,0,3,1,1,1,1,0,1,0,1,1,1,3,3,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,3,1,0,1,1,1,0,1,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
,117-2-4,2022-01-11 14:19:00,1/2,Nomination Confirmed,On the Nomination PN1321,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,3,1,1,0,1,0,0,0,0,0,1,1,0,3,1,1,1,0,0,1,0,1,1,1,0,3,1,0,1,1,0,1,3,0,1,1,1,0,1,1,0,0,1,3,1,1,1,1,3,3,0,1,1,1,0,1,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,3,1,1,1,1,1
5,117-2-5,2022-01-11 15:01:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN435,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,3,1,1,0,1,0,0,0,0,0,1,1,0,3,1,1,1,1,0,1,0,1,1,1,0,3,0,0,1,1,0,1,3,0,1,0,1,0,1,1,0,0,1,3,1,1,1,1,3,3,0,1,1,1,0,1,1,1,0,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,3,0,1,1,3,1,1,1,1,1
6,117-2-6,2022-01-12 15:45:00,1/2,Nomination Confirmed,On the Nomination PN435,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,3,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,3,0,3,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
7,117-2-7,2022-01-12 16:35:00,1/2,Nomination Confirmed,On the Nomination PN1168,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,3,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0
8,117-2-8,2022-01-13 14:55:00,3/5,Bill Defeated,On Passage of the Bill S. 3436,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,3,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1
9,117-2-9,2022-01-19 20:38:00,3/5,Cloture Motion Rejected,On the Cloture Motion H.R. 5746,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0
10,117-2-10,2022-01-19 22:21:00,1/2,Decision of Chair Sustained,On the Decision of the Chair H.R. 5746,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1
