votenumber,voteid,votedate,majorityreq,result,votedesc,S354,S317,S330,S396,S341,S342,S370,S343,S397,S307,S300,S275,S372,S308,S277,S309,S373,S252,S337,S287,S385,S374,S398,S266,S355,S375,S386,S253,S376,S221,S357,S331,S293,S153,S407,S388,S399,S359,S408,S361,S344,S395,S236,S345,S362,S406,S389,S363,S311,S378,S057,S346,S409,S410,S338,S369,S411,S174,S306,S322,S347,S288,S364,S229,S414,S413,S348,S380,S349,S259,S323,S401,S402,S381,S350,S313,S382,S353,S270,S404,S365,S324,S184,S403,S394,S284,S383,S314,S303,S384,S351,S412,S390,S327,S415,S366,S316,S318,S247,S391
11,117-2-11,2022-01-20 11:57:00,1/2,Nomination Confirmed,On the Nomination PN1169,1,0,1,0,1,0,1,0,0,1,3,1,3,1,1,1,3,0,1,0,1,0,3,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,3,0,1,1,0,1,1,0,1,0,1,0,1,1,3,0,1,1,3,0,1,1,1,1,0,1,0,1,0,0,1,3,0,1,0,1,1,0,3,1,0,3,1,1,0,3,0,0,3,0,1,1,1,1,1,0,1,0
12,117-2-12,2022-01-31 17:30:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1494,1,3,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,1,1,0,1,1,1,3,1,1,1,3,1,0,1,1,1,0,3,1,1,3,1,0,1,1,0,0,1,0,1,1,1,3,1,0,3,0,0,1,1,1,1,1,1,1,1
13,117-2-13,2022-02-01 11:32:00,1/2,Nomination Confirmed,On the Nomination PN1494,1,3,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,3,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,3,0,0,1,1,1,1,1,1,1,1
14,117-2-14,2022-02-01 12:24:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1499,1,3,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,3,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,3,0,0,1,1,1,1,1,0,1,0
15,117-2-15,2022-02-01 14:16:00,1/2,Nomination Confirmed,On the Nomination PN1499,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,3,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0
16,117-2-16,2022-02-01 15:04:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1506,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,3,1,1,0,3,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0
17,117-2-17,2022-02-01 17:13:00,1/2,Nomination Confirmed,On the Nomination PN1506,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,3,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,3,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0
18,117-2-18,2022-02-01 18:01:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN386,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,3,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,3,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0
19,117-2-19,2022-02-01 18:40:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN638,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,3,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,3,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1
20,117-2-20,2022-02-01 19:13:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN800,1,0,1,0,1,3,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,3,0,0,0,1,1,0,1,1,0,1,0,3,0,3,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,3,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,3,0,1,3,1,1,1,0,1,1
21,117-2-21,2022-02-02 11:10:00,1/2,Nomination Confirmed,On the Nomination PN386,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,3,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,3,1,1,0,3,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,3,1,1,1,1,0,1,0
22,117-2-22,2022-02-02 11:55:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1203,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,3,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,3,1,1,1,0,1,1,1,1,1,0,1,1,1,0,3,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,3,1,1,1,1,0,1,0
23,117-2-23,2022-02-02 12:34:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1204,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,3,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,3,0,1,1,0,1,1,1,1,1,0,1,1,1,0,3,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,3,1,1,1,1,0,1,0
24,117-2-24,2022-02-02 14:35:00,1/2,Nomination Confirmed,On the Nomination PN638,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,3,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,3,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1
25,117-2-25,2022-02-02 15:22:00,1/2,Nomination Confirmed,On the Nomination PN800,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,3,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,3,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1
26,117-2-26,2022-02-02 16:14:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN996,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,3,0,1,0,1,1,0,1,1,1,1,0,3,1,1,1,0,0,3,1,0,1,1,1,1,1,0,1,1,1,0,3,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0
27,117-2-27,2022-02-02 18:42:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1201,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,3,0,0,3,1,1,0,1,0,1,1,0,0,1,0,1,1,1,3,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,3,1,1,1,1,0,1,0
28,117-2-28,2022-02-02 19:30:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1577,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,3,3,1,0,3,0,0,3,1,1,0,1,0,1,1,0,0,1,0,1,1,1,3,0,0,0,1,1,1,1,1,0,1,0,3,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,3,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,3,3,1,1,1,1,0,1,0
29,117-2-29,2022-02-02 19:49:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1567,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,3,1,0,3,1,0,3,1,1,0,1,1,1,1,1,0,1,0,1,1,1,3,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1
30,117-2-30,2022-02-02 20:02:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1060,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,3,1,0,3,1,0,3,1,1,0,1,1,1,1,1,1,1,0,1,1,1,3,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1
31,117-2-31,2022-02-02 20:18:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN782,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,3,1,0,3,1,0,3,1,1,0,1,0,1,1,1,0,1,0,1,1,1,3,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1
32,117-2-32,2022-02-02 20:45:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1018,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,3,1,0,3,1,0,3,1,1,1,1,1,1,1,1,0,1,0,1,1,1,3,0,1,0,1,1,1,1,1,0,1,1,3,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
33,117-2-33,2022-02-03 12:31:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1020,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,3,1,0,3,1,1,0,1,0,3,1,1,0,1,0,1,1,1,3,1,1,0,1,1,1,1,1,0,1,1,3,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,3,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
34,117-2-34,2022-02-03 13:16:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1528,1,0,1,0,1,1,1,0,0,1,3,1,0,1,1,1,0,1,1,0,1,0,3,0,0,3,1,1,0,1,0,3,3,0,0,1,0,1,1,1,3,0,0,0,1,1,1,1,1,0,1,0,3,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0
35,117-2-35,2022-02-03 13:53:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1508,1,0,1,0,1,0,1,0,0,1,3,1,1,1,1,1,0,1,1,1,1,0,3,0,0,3,1,1,0,1,0,3,3,1,0,1,0,1,1,1,3,0,0,0,1,1,3,3,1,0,1,0,3,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,3,0,3,0,1,1,0,0,1,0,1,1,1,0,1,0,1,3,3,1,1,1,1,1,0,1,0
36,117-2-36,2022-02-07 17:30:00,1/2,Nomination Confirmed,On the Nomination PN1203,1,3,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,3,0,1,1,0,0,1,0,3,1,1,0,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,1,1,1,0,1,1,1,3,1,0,1,1,1,0,1,1,3,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,3,0,1,1,1,1,1,0,1,0
37,117-2-37,2022-02-07 18:20:00,1/2,Nomination Confirmed,On the Nomination PN1204,1,3,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,3,0,1,1,0,0,1,0,3,1,1,0,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,0,1,1,0,1,1,1,3,1,0,1,1,1,0,1,1,3,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,3,0,1,1,1,1,1,0,1,0
38,117-2-38,2022-02-08 11:37:00,1/2,Nomination Confirmed,On the Nomination PN996,1,3,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,3,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,3,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,3,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0
39,117-2-39,2022-02-08 12:30:00,1/2,Nomination Confirmed,On the Nomination PN1201,1,3,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,3,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,3,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0
40,117-2-40,2022-02-08 14:34:00,1/2,Nomination Confirmed,On the Nomination PN1577,1,3,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,3,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,3,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,3,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0
41,117-2-41,2022-02-08 15:14:00,1/2,Nomination Confirmed,On the Nomination PN1567,1,3,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,3,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,3,0,1,1
42,117-2-42,2022-02-08 16:58:00,1/2,Nomination Confirmed,On the Nomination PN782,1,3,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,3,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,3,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1
43,117-2-43,2022-02-09 11:34:00,1/2,Nomination Confirmed,On the Nomination PN1060,1,3,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,3,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,3,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,3,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
44,117-2-44,2022-02-09 12:20:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1183,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,117-2-45,2022-02-09 14:19:00,1/2,Nomination Confirmed,On the Nomination PN1183,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
46,117-2-46,2022-02-09 15:01:00,1/2,Nomination Confirmed,On the Nomination PN1018,1,3,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,3,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
47,117-2-47,2022-02-09 18:05:00,1/2,Nomination Confirmed,On the Nomination PN1020,1,3,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,3,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,3,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,3,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
48,117-2-48,2022-02-09 18:48:00,1/2,Nomination Confirmed,On the Nomination PN1528,1,3,1,0,1,3,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,3,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,3,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0
49,117-2-49,2022-02-09 19:04:00,1/2,Nomination Confirmed,On the Nomination PN1508,1,3,1,0,1,3,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,3,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,3,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0
50,117-2-50,2022-02-09 19:18:00,1/2,Nomination Confirmed,On the Nomination PN615,0,3,1,0,1,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,3,1,0,0,0,0,0,1,1,1,1,1,0,1,0,3,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,3,0,3,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0
51,117-2-51,2022-02-09 19:32:00,1/2,Motion to Discharge Agreed to,On the Motion to Discharge PN1026,1,3,1,0,1,3,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,3,1,1,0,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,3,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0
52,117-2-52,2022-02-10 11:49:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1537,1,3,1,0,1,3,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0
53,117-2-53,2022-02-10 13:43:00,1/2,Nomination Confirmed,On the Nomination PN1537,1,3,1,0,1,3,1,0,0,1,3,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,3,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,3,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,3,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0
